year,polarization,label,is_actual
2018.5777777777778,0.0008710654311937162,Annapolis,actual value
2016.6305555555555,0.0007468778561945904,Baton Rouge,actual value
2016.8138888888889,0.003600650514674256,Burlington,actual value
2015.6277777777777,0.0011533817768064317,Chattanooga,actual value
2015.9916666666666,0.001543244823415565,Colorado Springs,actual value
2016.6027777777779,0.0006279712652841801,Dallas,actual value
2017.3833333333334,0.0034900237165415827,Fresno,actual value
2016.2222222222222,0.0015015741990592121,Kalamazoo,actual value
2018.3944444444444,0.0013112018089864918,Nashville,actual value
2016.5333333333333,0.001062712733527517,Orlando,actual value
2018.2055555555555,0.0008402087348810481,Parkland,actual value
2018.9083333333333,0.0011886174544993272,Pittsburgh,actual value
2015.8361111111112,0.0008223628907265718,Roseburg,actual value
2016.0055555555555,0.0010539874892618846,San Bernardino,actual value
2017.5388888888888,0.0018773160946097874,San Francisco,actual value
2018.4666666666667,0.0007235665023353969,Santa Fe,actual value
2017.9305555555557,0.0012765009192876834,Sutherland Springs,actual value
2017.9194444444445,0.00234777102176627,Thornton,actual value
2018.9361111111111,0.0012203294547151432,Thousand Oaks,actual value
2017.8361111111112,0.0005901567917301589,Vegas,actual value
2018.5777777777778,0.00010322689439307934,Annapolis,value resulting from random party assignment
2016.6305555555555,4.7282635647272095e-05,Baton Rouge,value resulting from random party assignment
2016.8138888888889,0.00043476493533872853,Burlington,value resulting from random party assignment
2015.6277777777777,9.749230036578196e-05,Chattanooga,value resulting from random party assignment
2015.9916666666666,4.234387390411896e-05,Colorado Springs,value resulting from random party assignment
2016.6027777777779,8.454790838193157e-06,Dallas,value resulting from random party assignment
2017.3833333333334,0.0004534414271669684,Fresno,value resulting from random party assignment
2016.2222222222222,0.0002803575384103698,Kalamazoo,value resulting from random party assignment
2018.3944444444444,8.20018256836601e-05,Nashville,value resulting from random party assignment
2016.5333333333333,2.7499956631451014e-06,Orlando,value resulting from random party assignment
2018.2055555555555,8.257472019502476e-06,Parkland,value resulting from random party assignment
2018.9083333333333,4.5406328429464755e-05,Pittsburgh,value resulting from random party assignment
2015.8361111111112,0.000124953874790249,Roseburg,value resulting from random party assignment
2016.0055555555555,2.7443204648065253e-05,San Bernardino,value resulting from random party assignment
2017.5388888888888,0.00025166929331654964,San Francisco,value resulting from random party assignment
2018.4666666666667,3.545566715491716e-05,Santa Fe,value resulting from random party assignment
2017.9305555555557,1.1809531829673223e-05,Sutherland Springs,value resulting from random party assignment
2017.9194444444445,0.00014613949671825075,Thornton,value resulting from random party assignment
2018.9361111111111,2.8083347022421495e-05,Thousand Oaks,value resulting from random party assignment
2017.8361111111112,2.39304814674486e-06,Vegas,value resulting from random party assignment
