year,polarization,label,kind,race
2018.5777777777778,0.5072755105678803,Annapolis,between-topic,white
2016.6305555555555,0.5073211844822761,Baton Rouge,between-topic,POC
2016.8138888888889,0.5331491867156595,Burlington,between-topic,POC
2015.6277777777777,0.5042603287509407,Chattanooga,between-topic,POC
2015.9916666666666,0.5122951520321022,Colorado Springs,between-topic,white
2016.6027777777779,0.5058484006631053,Dallas,between-topic,POC
2017.3833333333334,0.5260690247809695,Fresno,between-topic,POC
2016.2222222222222,0.5124716412099504,Kalamazoo,between-topic,white
2018.3944444444444,0.5190773229587333,Nashville,between-topic,white
2016.5333333333333,0.5209819301466725,Orlando,between-topic,POC
2018.2055555555555,0.5057732602772229,Parkland,between-topic,white
2018.9083333333333,0.5057867492939747,Pittsburgh,between-topic,white
2015.8361111111112,0.5056831028519645,Roseburg,between-topic,POC
2016.0055555555555,0.5119643361662674,San Bernardino,between-topic,POC
2017.5388888888888,0.5136917785759674,San Francisco,between-topic,POC
2018.4666666666667,0.5064836026516788,Santa Fe,between-topic,white
2017.9305555555557,0.5082300720621109,Sutherland Springs,between-topic,white
2017.9194444444445,0.5284605078020261,Thornton,between-topic,white
2018.9361111111111,0.503525582313884,Thousand Oaks,between-topic,white
2017.8361111111112,0.5074670106339153,Vegas,between-topic,white
2018.5777777777778,0.5213720552952461,Annapolis,within-topic,white
2016.6305555555555,0.5214675300200194,Baton Rouge,within-topic,POC
2016.8138888888889,0.5276411179679624,Burlington,within-topic,POC
2015.6277777777777,0.5313958125580074,Chattanooga,within-topic,POC
2015.9916666666666,0.5279627922212647,Colorado Springs,within-topic,white
2016.6027777777779,0.5244570451612744,Dallas,within-topic,POC
2017.3833333333334,0.5273915135547979,Fresno,within-topic,POC
2016.2222222222222,0.517348848180599,Kalamazoo,within-topic,white
2018.3944444444444,0.5161042793487867,Nashville,within-topic,white
2016.5333333333333,0.5455043538075584,Orlando,within-topic,POC
2018.2055555555555,0.5325712718024849,Parkland,within-topic,white
2018.9083333333333,0.5480915622891722,Pittsburgh,within-topic,white
2015.8361111111112,0.5228641562059534,Roseburg,within-topic,POC
2016.0055555555555,0.5244697187456743,San Bernardino,within-topic,POC
2017.5388888888888,0.52533059510766,San Francisco,within-topic,POC
2018.4666666666667,0.5241707466778252,Santa Fe,within-topic,white
2017.9305555555557,0.5356341048679226,Sutherland Springs,within-topic,white
2017.9194444444445,0.5182680553499157,Thornton,within-topic,white
2018.9361111111111,0.5467929090979721,Thousand Oaks,within-topic,white
2017.8361111111112,0.5410252752032844,Vegas,within-topic,white
