year,polarization,label,is_actual
2018.5777777777778,0.0025649442286372875,Annapolis,actual value
2016.6305555555555,0.0014348903823201559,Baton Rouge,actual value
2016.8138888888889,0.008193995448550553,Burlington,actual value
2015.6277777777777,0.0012057958928189724,Chattanooga,actual value
2015.9916666666666,0.004176905667856745,Colorado Springs,actual value
2016.6027777777779,0.001010262951079512,Dallas,actual value
2017.3833333333334,0.005754760511544426,Fresno,actual value
2016.2222222222222,0.004357980923689394,Kalamazoo,actual value
2018.3944444444444,0.010084852363973053,Nashville,actual value
2016.5333333333333,0.007102344524476634,Orlando,actual value
2018.2055555555555,0.0011663326413415298,Parkland,actual value
2018.9083333333333,0.0021940500859301704,Pittsburgh,actual value
2015.8361111111112,0.0014443329674139883,Roseburg,actual value
2016.0055555555555,0.004469344663687967,San Bernardino,actual value
2017.5388888888888,0.009052967615972152,San Francisco,actual value
2018.4666666666667,0.0018794728122072087,Santa Fe,actual value
2017.9305555555557,0.002064109286871846,Sutherland Springs,actual value
2017.9194444444445,0.016431470456792954,Thornton,actual value
2018.9361111111111,0.001880103551087657,Thousand Oaks,actual value
2017.8361111111112,0.001709596744739657,Vegas,actual value
2018.5777777777778,5.986316447969758e-05,Annapolis,value resulting from random party assignment
2016.6305555555555,5.8876396313648386e-05,Baton Rouge,value resulting from random party assignment
2016.8138888888889,8.421720043088804e-05,Burlington,value resulting from random party assignment
2015.6277777777777,8.189517298019287e-05,Chattanooga,value resulting from random party assignment
2015.9916666666666,3.6921787608709664e-05,Colorado Springs,value resulting from random party assignment
2016.6027777777779,5.996760226100089e-06,Dallas,value resulting from random party assignment
2017.3833333333334,0.0007120727069341881,Fresno,value resulting from random party assignment
2016.2222222222222,0.00014585373634571014,Kalamazoo,value resulting from random party assignment
2018.3944444444444,8.368214036348539e-05,Nashville,value resulting from random party assignment
2016.5333333333333,2.2389150811655228e-06,Orlando,value resulting from random party assignment
2018.2055555555555,1.7296087463417644e-05,Parkland,value resulting from random party assignment
2018.9083333333333,4.155487682749741e-05,Pittsburgh,value resulting from random party assignment
2015.8361111111112,4.794318986880351e-05,Roseburg,value resulting from random party assignment
2016.0055555555555,6.0781730770501674e-05,San Bernardino,value resulting from random party assignment
2017.5388888888888,0.0002454022684574525,San Francisco,value resulting from random party assignment
2018.4666666666667,5.7197310278723885e-05,Santa Fe,value resulting from random party assignment
2017.9305555555557,9.208274522393615e-06,Sutherland Springs,value resulting from random party assignment
2017.9194444444445,7.52972116449579e-05,Thornton,value resulting from random party assignment
2018.9361111111111,8.077040818972132e-06,Thousand Oaks,value resulting from random party assignment
2017.8361111111112,4.193238108972248e-06,Vegas,value resulting from random party assignment
