event,leaveout,size,squared_diff,time
chattanooga,0.5,1.0,0.0,0.12587962962962965
chattanooga,0.5227354876414607,1941.0,0.0007843559599783334,0.3826526577982463
chattanooga,0.5318276253248837,6548.0,0.0008185578557793338,0.5811574110954735
chattanooga,0.533073075472861,2198.0,0.002174542046392891,0.8997542197931969
chattanooga,0.5327811737765975,3202.0,0.0016662189328092714,1.3929867642767129
chattanooga,0.5203671140472593,1763.0,0.004586440700773076,2.1563726868202493
chattanooga,0.5302695695270632,1056.0,0.004212374760896642,3.3385970432064296
chattanooga,0.5320041816143329,2108.0,0.004613443820550067,5.170173265730817
chattanooga,0.5506428108901107,1069.0,0.0020491724468163497,8.00274699039528
chattanooga,0.0,0.0,0.5,0.0
roseburg,0.5,46.0,0.0,0.011625464613043895
roseburg,0.5103615529178628,802.0,0.005051475358526902,0.023798699934449326
roseburg,0.5252129520149685,1618.0,0.0006448741158338045,0.04841950083739604
roseburg,0.5218134026391614,1706.0,0.003208770894199353,0.09852890635502425
roseburg,0.5377336423377492,1769.0,0.0022038450225003725,0.20052366353355175
roseburg,0.5265118131617204,1079.0,0.00047557720308238904,0.4079797231572404
roseburg,0.5200682456893287,1301.0,0.004066747165928364,0.8305693172349718
roseburg,0.5284663560701468,735.0,0.007170065346266519,1.6901278793428043
roseburg,0.5187857289202917,668.0,0.004098512225547135,3.4400796588450206
roseburg,0.5339060161136513,1648.0,0.0008391844061550469,7.00150276751846
colorado_springs,0.5,1.0,0.0,0.0010416666666666667
colorado_springs,0.5,7.0,0.0,0.004273702363642575
colorado_springs,0.5,53.0,0.0,0.010477292710974546
colorado_springs,0.5233761038405954,708.0,0.004204375406686278,0.02581974889247319
colorado_springs,0.542687067987132,2745.0,4.4288727403862804e-05,0.06450460653630316
colorado_springs,0.5406688030085167,8041.0,0.00041036796106053153,0.1613804695762414
colorado_springs,0.5350174454770157,6642.0,0.0002684241622157302,0.4036369245996849
colorado_springs,0.5354075849673601,6833.0,0.00032175558666813764,1.0093704706927376
colorado_springs,0.5367655413417592,5920.0,0.0018087968152176725,2.52572099392184
colorado_springs,0.5309307386793296,6190.0,0.0005136723872538607,6.318201225963829
san_bernardino,0.5,2.0,0.0,0.2466286797941721
san_bernardino,0.5250156761010145,10838.0,0.0003009374086563321,0.3816805696225132
san_bernardino,0.5292878514545242,8164.0,0.0008829373653906902,0.5523566285765558
san_bernardino,0.529737515272488,3022.0,0.0011659371658598872,0.8124971509921552
san_bernardino,0.5276134911619879,5728.0,0.0023371489740700024,1.1955914114984625
san_bernardino,0.5364018947028018,2656.0,0.0003457617972423277,1.7590137270790338
san_bernardino,0.5331022264899851,5246.0,0.00036100162999253005,2.5879171072243525
san_bernardino,0.5234965607076398,2608.0,0.0038606079949879968,3.8077503182415
san_bernardino,0.531155510899356,2263.0,0.0007454818901397875,5.601872200746918
san_bernardino,0.5362359422922858,1807.0,0.0028577970255976304,8.24191902440476
kalamazoo,0.5,1.0,0.0,0.020567129629629623
kalamazoo,0.5,15.0,0.0,0.04677721281659365
kalamazoo,0.5012814989195546,221.0,0.004071719030474985,0.07644994666302134
kalamazoo,0.5142701770867527,1014.0,0.004451305074409495,0.12705880721134277
kalamazoo,0.5101732403779947,473.0,0.015016186770062612,0.21361887562095758
kalamazoo,0.5297617747443031,632.0,0.004916165593632615,0.3595519592499297
kalamazoo,0.5174871773322252,2266.0,0.0022612291494910064,0.6046052885783018
kalamazoo,0.5130095931674327,622.0,0.010326070699435363,1.0170863598735989
kalamazoo,0.5251204103077001,1127.0,0.002629115568726914,1.7127382831331808
kalamazoo,0.5117328549586466,440.0,0.0008249431283929853,2.8799638905621308
orlando,0.5,4.0,0.0,0.0012185252026159128
orlando,0.5,23.0,0.0,0.0032320278045561224
orlando,0.5,44.0,0.0,0.008406889872307291
orlando,0.5201016159943576,143.0,0.026465910349486366,0.021773574388847302
orlando,0.538773390056712,2603.0,0.0020575471532291445,0.05533657774595465
orlando,0.5382762215415602,13439.0,0.001311774083796624,0.14229701583315305
orlando,0.5445834442627365,179226.0,2.0804130706930657e-05,0.3661040695263065
orlando,0.5450094109022467,180287.0,6.812132078659605e-05,0.9418885964308192
orlando,0.549818290215663,255407.0,0.00015705572129298684,2.4232540943842307
orlando,0.5659251293448163,174678.0,5.663412193745998e-05,6.2344735163477605
dallas,0.5,5.0,0.0,0.006923734551322301
dallas,0.5,1.0,0.0,0.019768518518518526
dallas,0.5,5.0,0.0,0.034749844337144314
dallas,0.5,13.0,0.0,0.07643141089931113
dallas,0.5,32.0,0.0,0.15053206657430052
dallas,0.5262736758761785,48154.0,0.00017726137517937168,0.32508423807891834
dallas,0.5242417507070931,46652.0,1.8707456918898302e-05,0.6946815868245284
dallas,0.5288325319725007,21389.0,2.3203220562706406e-06,1.4883407874460797
dallas,0.5317642456892786,12624.0,0.0002710508467771433,3.1880874971726127
dallas,0.5265815713054375,9954.0,0.0006523042801568346,6.831761319061929
baton_rouge,0.5,1.0,0.0,0.01630145777898911
baton_rouge,0.5,1.0,0.0,0.039479166666666655
baton_rouge,0.5,1.0,0.0,0.1918171296296297
baton_rouge,0.5206310999801409,5031.0,0.0008900824540057917,0.3411573704972761
baton_rouge,0.5243349510394562,17254.0,0.0002504728092119768,0.5466340440165125
baton_rouge,0.5208416414874559,3831.0,2.852998626590164e-05,1.0425566824071515
baton_rouge,0.521771081033236,1970.0,0.0007847330084589377,1.9866941824131246
baton_rouge,0.5255573952588171,377.0,4.7219398173203864e-05,3.788815452947073
baton_rouge,0.5101862980467716,311.0,0.008861389492573535,7.2347627498841165
baton_rouge,0.0,0.0,0.5,0.0
burlington,0.5,8.0,0.0,0.007556337048817778
burlington,0.5,48.0,0.0,0.016368609451807518
burlington,0.5124745320431581,262.0,0.000702438881437617,0.03495574252086749
burlington,0.5137658913746241,874.0,0.0009481264147507273,0.07358261808790699
burlington,0.522643182535623,740.0,0.006995795716619346,0.15664976509295506
burlington,0.5085075988717513,381.0,0.014389345588640245,0.3337170672927048
burlington,0.5360004088707734,924.0,0.0021195467034712534,0.710356762556491
burlington,0.571077516689488,1155.0,0.003298731306213498,1.5044931191635362
burlington,0.5845887099668436,286.0,0.015455154624443468,3.222447067893016
burlington,0.6584598266519599,268.0,0.02508491964155174,6.853264027436415
fort_lauderdale,0.5,2.0,0.0,0.00693850054266203
fort_lauderdale,0.5,1.0,0.0,0.021597222222222226
fort_lauderdale,0.5,1.0,0.0,0.027835648148148148
fort_lauderdale,0.5,3.0,0.0,0.0465574894768703
fort_lauderdale,0.5,5.0,0.0,0.062124880584835285
fort_lauderdale,0.5,3.0,0.0,0.10555360495070669
fort_lauderdale,0.5,13.0,0.0,0.15354051893929202
fort_lauderdale,0.5,19.0,0.0,0.2387223828908948
fort_lauderdale,0.5094504081775331,7182.0,0.0003806904169370018,0.3605206938082875
fort_lauderdale,0.0,0.0,0.5,0.0
fresno,0.5,1.0,0.0,0.006516203703703705
fresno,0.5,11.0,0.0,0.0218932047509294
fresno,0.5,24.0,0.0,0.04033945894374141
fresno,0.5484514492923329,490.0,0.007662223367492449,0.08494512521023298
fresno,0.5354977567665883,1815.0,0.0011417018023381353,0.17654520556680325
fresno,0.5290972794556882,1335.0,0.0005847298836012538,0.3675986550834155
fresno,0.5457373513894707,1128.0,0.0021129647810775865,0.7658901121127568
fresno,0.538299356998815,695.0,0.0057250729018059054,1.59231537948577
fresno,0.5314006486573654,295.0,0.001832236725275882,3.3003475923977432
fresno,0.5639525976221451,159.0,0.0058663797265252615,6.905843734888904
san_francisco,0.5,4.0,0.0,0.000863180756573337
san_francisco,0.5,4.0,0.0,0.002665657763107208
san_francisco,0.5,28.0,0.0,0.007102286054981884
san_francisco,0.5338244970922772,210.0,0.007467867564960262,0.018804789633726938
san_francisco,0.539486483892557,1272.0,0.0010564529754696905,0.048719373491405434
san_francisco,0.5264346926693292,1776.0,0.0026794650859657265,0.12820655192580604
san_francisco,0.5329922364702477,1382.0,0.00014215923094407223,0.33755639548128175
san_francisco,0.5447356154217338,824.0,0.010418342075791509,0.8891737547493843
san_francisco,0.5398093891606441,287.0,0.008668275591455887,2.340681272828828
san_francisco,0.5130961739417004,370.0,0.02948443661927036,6.1627761734046285
vegas,0.5,1.0,0.0,0.0008564814814814818
vegas,0.5,15.0,0.0,0.0037971078062182914
vegas,0.5020990740760062,88.0,0.008241239735031325,0.009121332377822209
vegas,0.5086956163595654,1254.0,0.007437105762802376,0.022733420233004932
vegas,0.5156720096049305,13078.0,0.0005311588403738021,0.057944772773252114
vegas,0.517010851888037,30054.0,0.0008996967541078371,0.147814297591131
vegas,0.5327772145224552,183668.0,0.00010683880927886413,0.3770951917769113
vegas,0.541815236313753,160619.0,3.5945994634190015e-06,0.962002437076644
vegas,0.5406162250740192,169442.0,3.7541644958505316e-05,2.4541642427910433
vegas,0.5490634341299074,108534.0,0.00010541052999524236,6.260893026551472
thornton,0.5,3.0,0.0,0.005880165020097671
thornton,0.5,19.0,0.0,0.013136370124049035
thornton,0.5463737720871431,170.0,0.010953007918525492,0.029096253096062202
thornton,0.5188963652757972,1240.0,0.0015471351770680042,0.06318124098941834
