year,polarization,label,kind,race
2018.5777777777778,0.00256612657117027,Annapolis,between-topic,white
2016.6305555555555,0.0014355204397373856,Baton Rouge,between-topic,POC
2016.8138888888889,0.008214715701901186,Burlington,between-topic,POC
2015.6277777777777,0.0012063822953106928,Chattanooga,between-topic,POC
2015.9916666666666,0.004177957006205301,Colorado Springs,between-topic,white
2016.6027777777779,0.0010103521994850304,Dallas,between-topic,POC
2017.3833333333334,0.005768206187181817,Fresno,between-topic,POC
2016.2222222222222,0.0043615559940581175,Kalamazoo,between-topic,white
2018.3944444444444,0.010086314832791956,Nashville,between-topic,white
2016.5333333333333,0.007102424581261437,Orlando,between-topic,POC
2018.2055555555555,0.0011664317980776167,Parkland,between-topic,white
2018.9083333333333,0.0021943667681291468,Pittsburgh,between-topic,white
2015.8361111111112,0.0014454000458838652,Roseburg,between-topic,POC
2016.0055555555555,0.004469901895725666,San Bernardino,between-topic,POC
2017.5388888888888,0.009056900236837081,San Francisco,between-topic,POC
2018.4666666666667,0.0018797535870725057,Santa Fe,between-topic,white
2017.9305555555557,0.0020642802873507378,Sutherland Springs,between-topic,white
2017.9194444444445,0.016436794761566086,Thornton,between-topic,white
2018.9361111111111,0.0018802401778087799,Thousand Oaks,between-topic,white
2017.8361111111112,0.0017096192261592375,Vegas,between-topic,white
2018.5777777777778,0.002330124717372701,Annapolis,within-topic,white
2016.6305555555555,0.0014838817045209171,Baton Rouge,within-topic,POC
2016.8138888888889,0.008755717428078095,Burlington,within-topic,POC
2015.6277777777777,0.0031907536183366724,Chattanooga,within-topic,POC
2015.9916666666666,0.002029980720040125,Colorado Springs,within-topic,white
2016.6027777777779,0.0009709725767293136,Dallas,within-topic,POC
2017.3833333333334,0.007342499717082508,Fresno,within-topic,POC
2016.2222222222222,0.004274822741184692,Kalamazoo,within-topic,white
2018.3944444444444,0.0017640876632471416,Nashville,within-topic,white
2016.5333333333333,0.0012973276663479285,Orlando,within-topic,POC
2018.2055555555555,0.0010726423370555664,Parkland,within-topic,white
2018.9083333333333,0.0034805024695842126,Pittsburgh,within-topic,white
2015.8361111111112,0.003267158371492903,Roseburg,within-topic,POC
2016.0055555555555,0.0015041612309538504,San Bernardino,within-topic,POC
2017.5388888888888,0.004012570377521251,San Francisco,within-topic,POC
2018.4666666666667,0.0013634704919228025,Santa Fe,within-topic,white
2017.9305555555557,0.0018119115920522697,Sutherland Springs,within-topic,white
2017.9194444444445,0.0032454133324504144,Thornton,within-topic,white
2018.9361111111111,0.0025654263928403635,Thousand Oaks,within-topic,white
2017.8361111111112,0.0011082272201802185,Vegas,within-topic,white
