event,kind,leaveout,time
chattanooga,actual,0.529056405696631,0
chattanooga,random,0.5002564404435621,0
chattanooga,actual,0.5306680800960525,1
chattanooga,random,0.5008951929397188,1
chattanooga,actual,0.5206940178282523,2
chattanooga,random,0.5030463442515908,2
chattanooga,actual,0.5165957233336012,3
chattanooga,random,0.4892913686602764,3
chattanooga,actual,0.533811654864438,4
chattanooga,random,0.4934441133189244,4
chattanooga,actual,0.5270607249297938,5
chattanooga,random,0.4960426338966175,5
chattanooga,actual,0.5244407403399799,6
chattanooga,random,0.5052253147306491,6
chattanooga,actual,0.5683200989724924,7
chattanooga,random,0.48786488335432654,7
chattanooga,actual,0.5532599800091802,8
chattanooga,random,0.4989589417055606,8
chattanooga,actual,0.562423884560038,9
chattanooga,random,0.49055445002276643,9
roseburg,actual,0.5215175013908611,0
roseburg,random,0.49994043153986334,0
roseburg,actual,0.5201598533515405,1
roseburg,random,0.49966814601112086,1
roseburg,actual,0.5282292748511254,2
roseburg,random,0.5042736352099308,2
roseburg,actual,0.4874579709808804,3
roseburg,random,0.5053570179046657,3
roseburg,actual,0.5493282348725597,4
roseburg,random,0.5061500292559762,4
roseburg,actual,0.5387676275195497,5
roseburg,random,0.5045212732016271,5
roseburg,actual,0.5513266787144816,6
roseburg,random,0.4869712954006663,6
roseburg,actual,0.5439425674337016,7
roseburg,random,0.5062112447866128,7
roseburg,actual,0.545353963459455,8
roseburg,random,0.4937860666291158,8
roseburg,actual,0.5,9
roseburg,random,0.5,9
colorado_springs,actual,0.538074102946094,0
colorado_springs,random,0.5002411407770578,0
colorado_springs,actual,0.5320314293327364,1
colorado_springs,random,0.49894855696879736,1
colorado_springs,actual,0.5401180392127475,2
colorado_springs,random,0.49585547364239596,2
colorado_springs,actual,0.5359120586821101,3
colorado_springs,random,0.5009415696657097,3
colorado_springs,actual,0.5338900539003155,4
colorado_springs,random,0.5005768599445795,4
colorado_springs,actual,0.535773067886387,5
colorado_springs,random,0.5004405310816639,5
colorado_springs,actual,0.5386946078303636,6
colorado_springs,random,0.4960482198749663,6
colorado_springs,actual,0.522706776425615,7
colorado_springs,random,0.5011606604282866,7
colorado_springs,actual,0.5469722458515359,8
colorado_springs,random,0.5066793246533794,8
colorado_springs,actual,0.5389936641352437,9
colorado_springs,random,0.4937111707604198,9
san_bernardino,actual,0.5253509959422316,0
san_bernardino,random,0.499736395466289,0
san_bernardino,actual,0.5290717708254499,1
san_bernardino,random,0.49922669646794404,1
san_bernardino,actual,0.5320806031307203,2
san_bernardino,random,0.5009448059229133,2
san_bernardino,actual,0.5357543454287239,3
san_bernardino,random,0.49800780382354115,3
san_bernardino,actual,0.5282403608346498,4
san_bernardino,random,0.5004306483266989,4
san_bernardino,actual,0.5374983612780254,5
san_bernardino,random,0.5044359242377878,5
san_bernardino,actual,0.5234502484529158,6
san_bernardino,random,0.49426424410573405,6
san_bernardino,actual,0.5217441785019806,7
san_bernardino,random,0.49169664374966005,7
san_bernardino,actual,0.5313078900425545,8
san_bernardino,random,0.4910291094032642,8
san_bernardino,actual,0.5418771732900146,9
san_bernardino,random,0.5092386866966943,9
kalamazoo,actual,0.5185887319472311,0
kalamazoo,random,0.5010215835715839,0
kalamazoo,actual,0.5214982102467307,1
kalamazoo,random,0.5003520094558753,1
kalamazoo,actual,0.5232784466259044,2
kalamazoo,random,0.49914858237335036,2
kalamazoo,actual,0.4851062970222084,3
kalamazoo,random,0.4798825558033091,3
kalamazoo,actual,0.5,4
kalamazoo,random,0.5,4
kalamazoo,actual,0.5,5
kalamazoo,random,0.5,5
kalamazoo,actual,0.5,6
kalamazoo,random,0.5,6
kalamazoo,actual,0.5,7
kalamazoo,random,0.5,7
kalamazoo,actual,0.5,8
kalamazoo,random,0.5,8
kalamazoo,actual,0.5,9
kalamazoo,random,0.5,9
orlando,actual,0.5429092388129402,0
orlando,random,0.5000622092320715,0
orlando,actual,0.5468466810049186,1
orlando,random,0.5001543538518267,1
orlando,actual,0.5515545696268681,2
orlando,random,0.500110330255754,2
orlando,actual,0.5627388043155861,3
orlando,random,0.500192521956508,3
orlando,actual,0.5673351404307303,4
orlando,random,0.49960223827094685,4
orlando,actual,0.5715701590719771,5
orlando,random,0.500525718032699,5
orlando,actual,0.5639584784626993,6
orlando,random,0.5003591276054065,6
orlando,actual,0.5767592207761876,7
orlando,random,0.5020100110973715,7
orlando,actual,0.5987542115087332,8
orlando,random,0.5004622765433261,8
orlando,actual,0.5907225032728765,9
orlando,random,0.49962638676154164,9
dallas,actual,0.5240633961867498,0
dallas,random,0.4998372046750539,0
dallas,actual,0.528166262502497,1
dallas,random,0.5002076332700236,1
dallas,actual,0.5333498845354443,2
dallas,random,0.5001648407312957,2
dallas,actual,0.5343962856803324,3
dallas,random,0.500541338758852,3
dallas,actual,0.5322299340712229,4
dallas,random,0.49958797132375554,4
dallas,actual,0.5354557138344653,5
dallas,random,0.5026146482002669,5
dallas,actual,0.5298807726470127,6
dallas,random,0.49235970884563174,6
dallas,actual,0.5172494586125189,7
dallas,random,0.5012004032528063,7
dallas,actual,0.5155519690386753,8
dallas,random,0.5018310990531142,8
dallas,actual,0.5334956795125889,9
dallas,random,0.4969899670660298,9
baton_rouge,actual,0.5229793690332498,0
baton_rouge,random,0.5000048713115677,0
baton_rouge,actual,0.5237456769514308,1
baton_rouge,random,0.4997389256008884,1
baton_rouge,actual,0.5426573559653308,2
baton_rouge,random,0.4858431531036752,2
baton_rouge,actual,0.5213781142187726,3
baton_rouge,random,0.4949155348733547,3
baton_rouge,actual,0.541979463371929,4
baton_rouge,random,0.500782746538831,4
