event,leaveout,size,squared_diff,time
fort_lauderdale,0.5,0.0,0.0,10.0
fresno,0.5329364335207047,3995.0,0.002223898060488394,1.0
fresno,0.545395720692361,590.0,0.0025235664913247913,2.0
fresno,0.5284397432699958,146.0,0.033941990074053074,3.0
fresno,0.527251471987386,76.0,0.07026301858945994,4.0
fresno,0.5,56.0,0.0,5.0
fresno,0.5,54.0,0.0,6.0
fresno,0.5,33.0,0.0,7.0
fresno,0.5,32.0,0.0,8.0
fresno,0.5,40.0,0.0,9.0
fresno,0.5,19.0,0.0,10.0
san_francisco,0.532454631168352,4829.0,0.0007139918270853141,1.0
san_francisco,0.551735014759267,324.0,0.020977695847703592,2.0
san_francisco,0.5423865477807303,91.0,0.01813278268295815,3.0
san_francisco,0.5517378810106981,47.0,0.04128139069194864,4.0
san_francisco,0.5,39.0,0.0,5.0
san_francisco,0.5,55.0,0.0,6.0
san_francisco,0.5,38.0,0.0,7.0
san_francisco,0.5,43.0,0.0,8.0
san_francisco,0.5,36.0,0.0,9.0
san_francisco,0.5,56.0,0.0,10.0
vegas,0.5290354250080153,194137.0,2.2499796048069953e-05,1.0
vegas,0.5374461750313295,41696.0,8.12273778860173e-05,2.0
vegas,0.5350870444187555,19904.0,0.0004005178148788202,3.0
vegas,0.5342267841694078,13170.0,7.917062262841057e-05,4.0
vegas,0.538052129185808,7657.0,0.0006104303359946162,5.0
vegas,0.5472983666344714,4981.0,0.00019339039843857542,6.0
vegas,0.5398730432337953,4661.0,0.000677257531057629,7.0
vegas,0.5441264185398578,3870.0,0.0006949439373269417,8.0
vegas,0.5515655147300443,3348.0,0.0018863652309167867,9.0
vegas,0.5578065345985432,2835.0,0.0072734646948169335,10.0
thornton,0.5358035065145645,5032.0,0.0010461999895450824,1.0
thornton,0.5257468654978695,533.0,0.00667300866898185,2.0
thornton,0.5346643588084625,117.0,0.005429888457222365,3.0
thornton,0.5221436010126796,287.0,0.005158246479508355,4.0
thornton,0.5332886127691099,693.0,0.002938538996532958,5.0
thornton,0.5260213906041158,214.0,0.0031043357262465765,6.0
thornton,0.5104179122278363,111.0,0.0024640571266080213,7.0
thornton,0.5284050549459651,71.0,0.008941889025149252,8.0
thornton,0.45713047257134604,80.0,0.04480001938841949,9.0
thornton,0.48248031713983386,66.0,0.03466134812162314,10.0
sutherland_springs,0.5384309302141927,47982.0,2.758540429848022e-05,1.0
sutherland_springs,0.5331067138880512,11773.0,0.00020250000274735225,2.0
sutherland_springs,0.5319269603676569,3633.0,0.00013182903736658202,3.0
sutherland_springs,0.5266484568747253,1797.0,0.0006228998505767303,4.0
sutherland_springs,0.5360778579612181,1066.0,0.005367536928102767,5.0
sutherland_springs,0.5290773754833802,657.0,0.004526969068237463,6.0
sutherland_springs,0.5237347604958895,597.0,0.004581672323353048,7.0
