event,leaveout,size,squared_diff,time
San Francisco,0.5,49.0,0.0,8.0
San Francisco,0.5,41.0,0.0,9.0
San Francisco,0.5016908848721059,95.0,0.037497931883297864,10.0
Vegas,0.5321917881057234,326987.0,6.7885169851567e-05,1.0
Vegas,0.5430457870501761,116050.0,0.00022082559245761857,2.0
Vegas,0.5435126587061776,69787.0,0.000504148039248975,3.0
Vegas,0.542219501475581,47815.0,0.0006998630127321714,4.0
Vegas,0.5488982257694144,29459.0,0.0006980758736973569,5.0
Vegas,0.5595742204452969,18544.0,0.000143551409699183,6.0
Vegas,0.5571993370734625,17056.0,1.0762029397926032e-05,7.0
Vegas,0.5487950650047992,16231.0,0.0011263456253852722,8.0
Vegas,0.5591472145334506,13370.0,0.001162924964701273,9.0
Vegas,0.564665990778346,11443.0,0.0007884663019821492,10.0
Thornton,0.5351083542723958,5518.0,0.00015771008640541595,1.0
Thornton,0.5260871810468706,733.0,0.0020420354809478902,2.0
Thornton,0.5498449957449565,178.0,0.03787409722752855,3.0
Thornton,0.527438298493582,357.0,0.015486430841773813,4.0
Thornton,0.5215423015979809,900.0,0.004260686176540296,5.0
Thornton,0.5201984514841421,278.0,0.0023674600841363524,6.0
Thornton,0.517625830538037,137.0,0.0059707921832165,7.0
Thornton,0.5150403161349077,86.0,0.03319556693372927,8.0
Thornton,0.4959985002065061,107.0,0.010151812198231691,9.0
Thornton,0.5241720175714172,79.0,0.037106756818082176,10.0
Sutherland Springs,0.5381993925518197,61825.0,0.000204550822927696,1.0
Sutherland Springs,0.5338095683776687,19264.0,0.00020866987623158195,2.0
Sutherland Springs,0.5281274223772483,6524.0,0.0004443740170660959,3.0
Sutherland Springs,0.5270370451813327,3411.0,0.0021076458885623817,4.0
Sutherland Springs,0.5341120004564459,2021.0,0.00198450640475456,5.0
Sutherland Springs,0.5364916769163584,1191.0,0.006305062319985955,6.0
Sutherland Springs,0.5265106086887377,1187.0,0.0037621988250432503,7.0
Sutherland Springs,0.5273832940921297,1447.0,0.0003054098114958492,8.0
Sutherland Springs,0.54571822341281,995.0,0.002163109103791472,9.0
Sutherland Springs,0.5629826946980181,1509.0,0.0015587271472894404,10.0
Parkland,0.5355853592415912,38868.0,0.00012976464875236182,1.0
Parkland,0.5328784204918121,18560.0,0.0005196866793410471,2.0
Parkland,0.5460758743640706,8935.0,0.00010988289810309748,3.0
Parkland,0.5386786175335194,7943.0,0.0007740258192540095,4.0
Parkland,0.5372687931491036,7321.0,0.00118037938153287,5.0
Parkland,0.5381247165862653,7991.0,0.00018408019076154858,6.0
Parkland,0.54392746789213,12074.0,0.0001651172035320725,7.0
Parkland,0.5326638897135793,19126.0,0.00010230233919955589,8.0
Parkland,0.5468511382439492,12006.0,9.942392088535534e-05,9.0
Parkland,0.5526136557876593,7823.0,0.0005810236813002523,10.0
Nashville,0.5198619331999212,6486.0,8.408524485348234e-05,1.0
Nashville,0.5197358064757084,7014.0,0.000846336823592031,2.0
Nashville,0.5214437252386472,3115.0,7.940402616091191e-06,3.0
Nashville,0.530800420077463,1454.0,0.0012190743444040475,4.0
Nashville,0.5164475101917982,827.0,0.0038017335948068998,5.0
Nashville,0.5382193938540223,572.0,0.005163755520501523,6.0
Nashville,0.5167644324457985,373.0,0.0028355818294785173,7.0
Nashville,0.5177118602499452,360.0,0.007107878808985113,8.0
Nashville,0.5332433562409065,341.0,0.008998375867311115,9.0
Nashville,0.5105750295745508,365.0,0.008545576573597558,10.0
Santa Fe,0.527355214973636,26900.0,1.786515663915189e-05,1.0
Santa Fe,0.5248351132527552,4218.0,0.0006047526020770411,2.0
Santa Fe,0.5221940009085718,3132.0,0.0009512187666124161,3.0
Santa Fe,0.5156772305286326,2574.0,0.0022251674759289353,4.0
Santa Fe,0.523306717303431,1577.0,0.0023126538786971684,5.0
Santa Fe,0.5268659817305642,932.0,0.0035518908946636785,6.0
Santa Fe,0.5327235980424625,592.0,0.011467673832949665,7.0
Santa Fe,0.5166007499377977,755.0,0.004847664974796939,8.0
Santa Fe,0.5033917091091139,353.0,0.0022509384971414192,9.0
Santa Fe,0.5361643522905033,348.0,0.00950763004430799,10.0
Annapolis,0.5208673541323822,11804.0,7.215624528056352e-05,1.0
Annapolis,0.5297867900439657,3067.0,0.0004924999563590271,2.0
Annapolis,0.558108307130718,670.0,0.0023582732367922743,3.0
Annapolis,0.5351911948165702,319.0,0.014632211126956562,4.0
Annapolis,0.5320692779954826,904.0,0.007978562900726516,5.0
Annapolis,0.5232283624065756,745.0,0.00507841048583535,6.0
Annapolis,0.4957195016675986,83.0,0.015026842723660339,7.0
Annapolis,0.49288155173630305,280.0,0.00017133968078003603,8.0
Annapolis,0.5192210059752798,98.0,0.03089413553190612,9.0
Annapolis,0.5124718840894908,94.0,0.030352221626307685,10.0
Pittsburgh,0.5311531292089785,13690.0,0.0003513500551728388,1.0
Pittsburgh,0.5613741196718223,8996.0,0.00017420156796610353,2.0
Pittsburgh,0.5848920841783118,5994.0,0.0024392770715950807,3.0
Pittsburgh,0.5573112459686231,3225.0,0.0036378500665001368,4.0
Pittsburgh,0.5528116592342514,1317.0,0.002069732959742443,5.0
Pittsburgh,0.5532484810992035,1006.0,0.0045675002974189804,6.0
Pittsburgh,0.5561214615301759,703.0,0.010477827005939355,7.0
Pittsburgh,0.5446377861346302,487.0,0.0046499338919779865,8.0
Pittsburgh,0.5733306152186899,567.0,0.011560785857176459,9.0
Pittsburgh,0.5738689736921716,395.0,0.0037398449293510883,10.0
Thousand Oaks,0.5247890056962576,3242.0,0.0033314568450433235,1.0
Thousand Oaks,0.5364624720299436,32130.0,0.00024042556773518076,2.0
Thousand Oaks,0.5547455273401782,16584.0,0.00026943075259233673,3.0
Thousand Oaks,0.5719125597221256,5097.0,0.001488035756938677,4.0
Thousand Oaks,0.5820197335404789,1950.0,0.0013800299465325239,5.0
Thousand Oaks,0.5549481303662975,1491.0,0.005976473511937974,6.0
Thousand Oaks,0.5917242897212119,819.0,0.020666236673080762,7.0
Thousand Oaks,0.553379176029033,666.0,0.0009300603935027407,8.0
Thousand Oaks,0.5728681116780177,617.0,0.0035550608913048065,9.0
Thousand Oaks,0.5564162435019009,216.0,0.010947473854481471,10.0
