	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
super	0.18047135	0.023208555	0.06882123	-0.26379657	0.20305005	-0.25208998	-0.92814046	0.11284628	-1.3237574	0.80593884	0.14840576	-0.7352886	0.14783925	-0.22599831	-1.1918	-0.14259481	0.53428054	0.3656999	0.623675	0.32838827	0.47524932	-0.69635963	0.6482667	-0.33362463	0.6449609	0.038185265	0.17375991	-0.80650055	-1.6527805	-0.2282925	-0.5640141	-0.6577649	-1.3607258	0.070680045	-0.14223973	-0.5026578	-0.058727298	0.6498042	1.0270455	-0.4275897	0.25021333	-0.4854276	-0.14878535	-0.94585717	0.4620588	-0.0039022155	-0.45883036	-1.0289888	-0.16722779	-0.9688696
aliv	1.0587521	0.402326	1.2854135	-0.21176314	1.2958077	0.5761268	-0.004385099	0.6993259	0.026128627	0.047842532	-0.48394245	-0.4890781	-0.014035791	0.9848747	0.75757486	-0.8756169	0.9239193	-0.10268906	0.33553392	-0.34532675	-0.059932113	-0.9425242	0.07374472	-0.2323568	-0.064817436	-0.97042596	-0.049482785	-0.5283997	-0.53318715	-0.28474635	-1.5174856	-1.0650551	-0.33775538	0.020359892	0.9117482	-1.2147448	-1.4358068	-0.073247194	0.76938283	0.4211254	-1.2660326	-0.7977065	-0.41030732	-0.70351434	0.85101914	0.09245597	0.69543016	0.8370067	0.5110202	1.7822361
celebr	-0.22561863	0.17460304	-0.09043599	-0.9104164	-0.9454172	0.38801047	-1.6418641	1.3609865	-0.49734855	0.36353257	-0.55662614	-0.62629306	0.009924546	-0.2668349	0.09546673	-1.1285412	0.68087	-1.009371	0.48974144	-1.1188284	-0.2235038	0.23929608	-0.6499114	-0.0060319845	0.7623501	-1.1728196	-0.49324012	0.6808653	-1.5543969	0.8050883	0.80762285	0.12022859	-0.2978632	0.4530512	0.41935563	-0.059590198	-0.38892126	-0.15491176	1.2475817	-0.32590026	0.14255866	-0.15552706	-0.167935	-0.9958475	0.8346649	0.14002338	1.0442941	-0.43406364	-0.93703914	0.92075473
parent	0.8899535	-1.2019172	0.6867127	-0.7257341	0.641516	-0.032105975	-0.630387	1.2674233	-0.11533825	0.9049064	-0.20578317	-0.4287634	0.74186754	0.7224306	0.7316375	-0.118541114	-0.036502466	-0.081821695	0.8654498	-1.0289593	0.96010983	-0.30001426	-0.023591287	-0.7370852	-0.0062269345	-0.82193935	-0.7758918	-0.61067295	-1.2018563	-0.28721285	-0.85531163	-0.4423142	-0.11547871	-0.6493659	-0.49207106	0.6906799	1.3158929	-0.7882278	0.4660748	-0.4588494	-1.3027599	-0.42596388	-0.68540305	-0.68426484	0.6073917	0.8763703	0.7895249	0.43678778	-0.52927786	1.0756792
illeg	-0.07008192	-0.9080411	0.5088105	-0.109424874	0.3847072	-0.825899	-0.5471145	0.917212	-0.9278712	0.84054905	1.0158603	0.6398996	0.479711	0.1966871	0.63785136	-0.2662655	0.47604978	0.66383183	1.973027	-1.1180257	0.18531922	-0.4851344	1.04658	-1.1655657	0.35057846	-0.40447676	-1.186012	-0.8361937	0.28685308	0.21193537	-0.82081103	0.057977688	0.25319484	-0.9516281	-0.42379767	-0.30443293	-0.852896	-1.283636	0.54259586	-0.8124011	-0.5736116	-0.4567963	1.3211281	-0.051511325	0.7766214	1.0964603	0.44438127	0.61790335	-0.73610675	-0.3426659
buy	-0.87319934	-1.7733843	0.615377	0.033564344	1.0213909	-0.37076074	-0.12939593	0.26520067	-1.5857216	-0.021120667	0.29801852	-0.49837387	0.23248568	0.5715638	1.0194448	0.2142127	0.684242	0.05143997	0.3975472	-1.0611703	0.60441256	-0.78439206	1.0248296	-0.41201127	-0.4275123	-0.27011752	-0.12245822	-1.0140581	-0.9471315	-0.24727374	-1.0544579	-0.33045387	-0.6239543	-0.87235546	-0.15351285	0.7157892	-0.29468858	-0.4551109	0.5918941	-1.3313663	-1.065629	-0.083687976	0.74893224	-0.5439637	0.78081656	1.3379657	1.1762017	0.32964385	-0.5983478	-0.41270852
mental	-0.10652584	-0.82598805	0.7168364	-0.3617734	-0.06558523	0.68349576	-0.6116444	0.9118556	0.415013	0.48156637	0.052383646	-0.5897269	-0.6728282	0.4100073	0.98614836	0.7230047	1.0387961	-0.0013307184	1.5309637	-0.8526995	0.30977046	-0.44396544	1.2758071	-0.4833833	-0.29381794	-0.57212865	-0.07807953	-1.3394675	-1.3861833	0.42653152	-1.0233908	-0.928488	-0.9276215	-1.4337939	0.078441285	1.2453451	-0.943614	-0.663602	1.0583112	-1.2836286	-1.6037889	-0.6526272	0.14262226	0.5794045	-0.44534838	0.88991344	1.2992148	-0.37342367	-0.8162224	0.62885636
dept	0.005205527	-0.33765584	-0.4637529	-0.81704825	0.61883193	-0.10988232	-0.76337945	1.1318443	0.5853351	-0.44544992	-0.27977604	0.62512434	0.5099524	1.386329	-0.36576122	0.20419553	0.009784874	0.29627785	0.93855643	-0.8679204	-0.60734606	-0.3544917	0.5765963	0.006666854	0.68160075	-0.41662067	0.813802	-1.1964672	0.07968395	0.33221376	0.62136	1.7532549	-1.5789077	-1.1629474	-0.5364433	0.0067735813	-0.09568042	0.20868689	-0.018047482	-0.4825288	-0.64682174	-1.0786082	-1.0186213	-0.89921474	0.4729181	1.1382053	0.33218753	0.5913586	-0.1472505	-0.4310528
pic	0.8322643	-0.08619747	1.0124121	-0.060064718	0.21650693	-0.644874	-0.6872509	1.334545	-0.9171421	-0.41226074	-0.19637696	0.081573516	0.4697866	0.48330146	0.16446465	0.28583848	0.32195616	-0.63634753	0.34799516	-0.04504379	0.8111192	0.41895828	-0.5268629	-0.8845932	-0.3088497	-1.1257353	-0.41709134	-1.0038514	0.4610117	0.7038106	0.18245375	0.33607316	0.34392786	1.1751212	0.088813975	-0.08695038	-0.6167496	0.010989606	1.154042	-1.2589602	0.26156437	-1.3630093	-0.34267324	-0.55008334	0.50179505	1.3307223	0.10022982	-0.9145229	0.19845283	0.82095325
horrifi	-0.29531068	-0.5468191	0.13904242	-1.5325336	-0.28901815	0.32112402	-1.2532115	0.9589043	0.42419145	0.1941823	-0.37702692	-0.4007374	0.102369234	-0.25893974	-0.18241024	0.03601808	1.6244423	0.8477746	0.7842384	-0.85767686	-0.08614002	-1.0675834	1.056656	0.29152557	-0.6889434	-0.28009894	-0.6094271	0.273978	-0.47086817	0.51932	0.8151406	-0.748758	-0.37093297	1.2672154	-0.10755132	-0.7342759	1.1214496	0.2916758	0.3323692	0.08089922	0.06831042	-0.28047788	-0.96286416	-0.5808841	0.3808784	0.10005635	0.5071738	0.72936845	-0.08272455	0.9069027
center	-0.66413105	-1.0190533	-0.29346684	-1.1852429	-0.3711316	0.1815356	-1.1757612	0.84579575	0.094196446	-1.0457513	-0.6615577	-0.4550809	-0.81619596	1.2817128	-0.84961843	0.796507	0.9856689	-0.13890392	0.69259715	-0.38650095	-0.47379404	0.6804635	-0.019326791	-0.1859701	0.045740414	-0.75579536	0.15535033	-1.3318601	-1.9490788	0.47599202	0.33604732	-0.24216723	0.18337396	-0.6911386	0.44001353	-1.302731	-0.056147803	0.071238816	0.057471674	-1.5897267	-1.1152617	-1.1836951	-0.44574976	-0.0048813447	-0.09560478	0.5361738	0.5114621	0.32247794	-1.9937744	-0.9458837
take	0.11998671	-0.8815011	0.69088614	-1.0162464	1.0153325	0.12686518	-0.8033031	0.7745096	-0.44623655	0.74108917	-0.2251805	-1.332789	-0.9469254	0.52519083	0.99357384	-0.05336292	0.97318137	-0.24279651	1.0617287	-0.75696325	-0.08243352	-0.4241975	0.47295728	-1.0628817	0.1459608	-1.0767043	-0.82855946	-0.5660349	-0.7485385	-0.1377272	-0.24002138	-0.53359056	-1.0490543	-0.2085135	0.6804155	0.3374536	-0.004205382	-0.7931386	0.7269855	-0.8888531	-0.9448577	-0.71895623	-0.61686015	-0.5390111	0.8369099	0.8001728	0.71130013	0.123456344	-0.88130856	0.5775492
brown	-0.6798056	-0.47485524	1.4089799	-0.77666754	0.56135666	-0.62435406	-0.019677512	0.72761434	0.5825274	0.20063661	-1.1766984	0.4399888	-1.178633	1.4878204	-0.1942521	0.06874987	0.6989666	-0.23790382	1.6147273	0.1526222	-0.13491589	-0.12836412	0.34283742	-0.3444599	0.37249798	-1.2922466	-0.06624955	-1.1126404	-0.13576871	0.103991374	-0.13577017	-0.50953543	-0.5206694	0.40496388	0.17404628	0.44519636	-1.8928928	-0.33197767	0.23920998	-0.9800626	-0.654147	-0.786387	-0.85798484	0.5409496	-0.09577291	-0.0735139	-0.20752545	-0.62055874	0.43654275	0.492127
whether	0.024644285	-1.1116126	1.8872753	-0.37223053	0.014617175	0.22352716	-0.38306046	-0.041663986	1.4078555	0.01741691	-0.36410174	0.044580087	-0.7228658	0.17980498	0.37595755	-0.1516631	1.1475217	-0.061993048	0.667012	-0.5244117	0.4493087	-0.43112493	0.5788827	-0.30331564	0.056247436	-0.48670483	-1.0834508	-0.32355127	-0.91143286	-0.026155688	-1.075428	0.4852249	-0.82830185	-0.30653098	0.7689756	0.006574575	0.06389286	0.32687056	0.25263613	-0.26411092	-0.2577643	0.049322575	0.20406902	-0.78481054	0.658617	0.89054537	0.25380072	0.98676264	-0.777272	-0.00014147162
gunmen	-0.1027102	-1.2688	0.03726752	-0.7052575	0.27538377	0.18617651	-1.3621118	-0.4547713	0.25343403	-0.44466782	-0.64799666	0.31585002	-1.0423181	0.6596096	0.28122	0.86661327	0.93215764	-0.25223625	-0.17469257	-0.16486564	-0.011373013	0.043379724	0.2863048	-1.0040342	-0.45423114	-0.9605711	1.2966006	-1.181236	-0.51628226	0.42090714	-0.5208342	0.44389632	0.43210772	-0.29217407	0.45403457	-1.7274652	-0.80585	-0.4851418	0.88299984	0.017589051	-0.32521373	-0.6775107	0.11006794	-0.49550575	-0.07682047	0.20677617	-0.18646924	0.42152685	-1.0726532	0.35630843
care	0.31900442	-1.0303586	0.6947936	-0.7457867	0.6907377	-0.678172	-1.1236372	0.8097371	0.018978924	0.70543164	-0.29903138	-0.42674553	-0.27525142	0.040936492	1.08059	0.12853558	0.58967435	-0.228142	0.70490867	-1.2377214	-0.5213516	-0.014485672	0.05805508	-0.6955483	0.29731616	-1.0974298	-0.48496577	-0.7115637	-1.6343595	-0.109546155	-0.2902975	-0.97809327	-0.82969767	-0.5491921	-0.45857775	0.24617717	-0.5518759	-0.22529876	0.40015242	-0.8473079	-0.30821952	-0.69884586	-0.27710852	-0.18460718	0.4374643	0.5872482	0.79756045	0.103366464	-1.2138143	0.81168675
knew	0.7597817	-0.11947723	1.2135799	-0.6662527	0.16841614	-0.42123803	-0.5468832	0.61405146	0.7863891	0.26229554	0.2733998	-0.7787248	0.42131037	0.73254794	0.1297802	0.32991973	0.9063456	0.5320638	0.6345255	-0.44052	1.4550632	-0.9003196	-0.33393812	-0.76871353	0.46119916	-0.09106043	-0.60378623	0.024224423	-0.17517185	-0.076298565	-0.23494452	0.27868775	-0.58902156	-0.7897718	-0.050440352	-0.28783745	-0.41685593	-0.79284316	0.68027556	-1.4557548	-0.83405083	-0.6175966	-0.34977	-0.7169069	0.7903737	0.47721827	0.7453034	0.18762282	-0.590479	1.3518128
#updat	-0.146649	-0.78624487	0.13759345	-0.32910913	0.28922474	0.40669942	-0.96245253	0.45515922	0.6844914	-0.35052615	-0.5080631	0.30109712	-0.52482915	1.3810761	-0.44958603	0.17993678	0.49040627	-1.5856433	0.8713456	0.5507705	-0.3933301	-0.44457644	1.2015008	-0.56721586	0.14523496	-0.6575244	-1.2707613	0.0601352	0.6941197	0.011205465	-0.6027987	0.9597081	0.95726776	-0.6954931	0.012397364	-1.6060545	-0.4879494	1.3981749	-0.643143	-0.20492376	-0.80777395	0.11650619	-1.5920687	0.10877843	-0.8983593	-0.18067294	0.43591836	0.9684887	-0.76548713	0.17069829
process	-0.30468076	-1.4971092	0.009730563	0.08266297	0.99517715	0.28711563	-0.13744459	0.9973117	0.28700355	0.25665298	-0.5657477	-0.253886	-0.14879817	0.4796639	0.09086022	-1.2512424	0.11642393	0.3316976	0.73721457	-1.0487878	0.80352676	-0.19347094	0.5736254	0.13216642	0.48529863	0.27759475	-0.4518441	-0.30341494	-0.49224317	0.52127147	0.58762765	0.2573454	-1.4156735	-0.4530527	0.9605713	-0.045863505	0.4118089	0.25270763	-0.0727814	0.8808855	-0.37745863	-1.346283	-0.6694919	-0.107830815	0.75650513	1.4783287	0.11388072	0.21053734	-0.84916776	0.049335018
through	-0.30357945	-1.490777	0.05993269	-0.5453436	0.5611979	-0.20729166	-0.70041776	0.67130756	-0.5240022	1.082602	-0.30485272	-0.8253127	-0.9981444	0.31200817	-0.19100842	0.15855011	0.06219164	0.0074247792	0.6625369	-0.60646963	1.3178117	0.29234922	0.45898348	-0.81323564	0.057529923	-0.22723147	-0.1813	-0.44170743	-0.20076361	-0.13986191	-0.2987814	-1.0337713	-0.5106163	-0.5151576	0.3641618	-0.52138686	0.49971646	-0.04214096	0.52322274	-0.5367555	-1.0983739	-0.78042614	-0.5520592	-1.0749389	0.3626063	1.7819583	0.6229013	0.3781116	-0.7792728	0.8687819
secret	0.15139909	0.35694176	-0.08235478	0.45906523	0.8868996	1.4843429	-2.3544338	0.4548533	0.21441928	-0.4334912	0.8805761	-0.5276718	0.094757855	0.7755752	-0.49621034	0.3983458	0.59879863	1.1203388	0.80370903	-0.19161227	0.6311133	-0.34743556	-0.17022555	0.33943477	0.5864794	-0.09456447	-2.0799785	-0.71752644	-1.3231469	0.18537539	0.024152808	0.9428972	0.36890873	-1.3890785	0.37332383	0.64604914	-0.859337	0.034256995	0.71351653	-0.5445323	-0.782724	-1.0006263	0.23055005	-0.88831365	-0.14822032	-0.065824114	0.92849106	0.40990558	0.25269017	0.7113285
opinion	0.2241155	-0.6408272	1.8673141	-0.62808114	0.79845697	-0.043264102	-0.68597615	1.4331656	-0.34067592	1.55396	1.099066	-0.4877429	-0.114827245	-0.8671299	0.14789909	-0.25697368	0.41511703	0.13325292	0.41915646	-0.09267546	0.27566034	-0.044635206	0.22996217	-0.10202511	-0.47701702	-1.0230795	-0.34141886	-1.9023871	-0.04045114	0.39125842	0.4470469	-1.3362406	-0.29094672	0.66298395	-0.110973746	-0.014482137	0.5974009	0.7852651	0.3933564	-0.76298577	-0.11076605	0.35045588	-0.48222375	0.19688022	1.4595468	0.7922944	-0.18311223	-0.11363751	-0.8624518	-0.2349221
