	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
her	0.00900526	-0.6631533	-0.3326873	-1.267262	0.29314432	0.86033595	0.33970502	-1.3968747	0.6744456	0.57747436	0.6069568	-0.8589958	0.8939003	1.4207044	0.85751164	1.1629095	-1.342567	0.47049996	-1.0223802	-0.5010736	0.652192	0.3470958	-0.043313876	0.8820729	-0.80128217	0.43706977	-0.47884405	-0.24524644	1.0710621	0.050903488	-1.0546777	-0.56187546	0.5392595	1.4999195	-0.74957514	1.3164868	0.029337548	0.90305746	-0.49838215	-0.78186387	0.7228881	0.12798138	-0.47975823	-0.81697416	-0.06683833	-1.7099121	-0.75545377	-1.3436618	0.3379466	-0.5944336
put	-0.117869705	-0.42237544	0.28888404	-0.98868096	0.75903445	0.45908594	-0.21040586	-0.6493199	0.8062731	0.8038521	0.42987162	0.2588995	0.36223274	0.47496486	0.6978337	0.900951	-0.7908282	1.3597	-1.2649789	0.10388884	0.27130002	-0.26563394	-1.1818386	1.1739924	-0.6029105	-0.08953537	-0.667811	-0.78199315	0.43310678	0.105202794	0.1021326	-1.0964158	-0.070545346	1.0579486	0.10266264	0.46288425	0.6596312	0.6750978	-0.9982135	-0.8023208	-0.058108736	0.49431777	0.50918484	-1.4464097	0.072721094	-0.88211775	-0.4332122	-0.8203699	-0.4012636	0.025751285
sad	-0.8905011	-0.8299916	0.8808947	-1.0802709	0.28362375	-0.20792925	0.76774925	-0.37127557	0.2141498	0.97640777	0.24066725	-0.026584301	0.93205625	1.0720491	0.7600094	0.7107583	-1.1300387	0.8316997	-0.9575168	-1.5204811	0.28530598	0.047741555	-0.44465756	0.33255848	-1.1114329	-0.1563817	-0.9096985	-1.0230075	0.68725556	0.070531026	-0.35267213	-0.75370353	0.91830355	0.37601918	-0.6491667	0.29862633	0.981135	0.68992066	-0.7789353	-0.18332727	0.3978786	-0.24981478	0.62566173	-0.8945781	0.35565504	-0.8250452	-1.0652807	-0.94066966	0.26908588	-1.0312454
year	0.13356546	-0.13348663	1.2891644	-0.6206921	0.18271247	-0.4078399	0.5542716	-1.2191286	1.4669685	1.0843893	0.5245706	0.77668506	0.9324051	1.2394311	0.7252842	0.57499725	-1.2122325	0.057219297	-1.0555319	-0.38570452	0.27192533	-0.67300785	-1.248492	0.9342122	-0.4673779	-0.3711819	-0.2968002	-0.80792314	1.1366203	-0.22850245	-0.3977177	-0.34641516	0.40038252	0.2064774	0.0684599	0.7688019	1.7417362	1.0772393	-0.20406592	-1.4902147	1.1822338	-0.021760454	-0.13755701	-0.49247822	-0.84300923	-1.2542701	-0.81383693	-1.5001214	1.012479	-0.7361936
place	-0.98931044	-0.99372613	1.6087792	-1.3015494	0.6679034	0.48640043	0.112354085	-0.5778663	0.41989183	0.47890097	0.28666222	0.4095379	0.57671547	0.4747566	0.68033135	0.9043318	-0.35596144	0.81297415	-0.47364894	-0.6434097	0.2786322	0.11990106	-0.29596213	1.4766128	-0.32045108	-0.47536516	-1.1986434	-1.0795982	1.5651375	-0.87457126	-0.31638688	-1.0917072	0.36509752	0.7883112	-0.3719309	1.277716	1.166883	-0.41859454	-0.08749618	-0.42061105	-0.4210807	-0.6228471	0.47986656	-0.8237965	0.14243221	-0.23923714	-0.3751135	-0.76848245	0.37151358	-0.56792134
of	-1.2683197	-1.2229238	0.9972739	-1.2300179	1.107927	0.013261564	0.36832982	-0.863544	1.3782167	1.1274763	-0.10894052	1.1884098	1.0318651	1.2593756	1.3637395	1.0953118	-1.319022	1.2350459	-0.39352435	-1.0055463	0.14112751	0.15971376	-1.1299353	1.1915774	-1.0300338	-0.27729437	-1.7287731	-1.2607687	1.1649888	0.7117064	-0.36103082	-0.9990178	-0.20194405	1.3833416	0.10512389	1.1510241	1.1408741	0.98237616	-0.82360446	-1.1340729	1.0044804	0.13563263	0.92218107	-1.4162881	-0.8843125	-1.1442552	-1.3842123	-1.1758802	0.27563202	-0.70049393
themselv	-0.33745676	-0.989115	0.592923	-0.9550805	1.0827992	-0.15047505	0.34700733	-0.4271077	1.1074369	0.62468076	-0.24909735	0.0013697147	0.57729673	0.60551155	-0.1257377	1.19081	-0.7725487	0.7771886	-0.43841553	0.17338604	-1.2302884	-0.46621042	-0.89761674	0.72238946	-0.38053155	-0.08868892	-0.9901764	-0.41958863	0.7293288	-0.19776465	-0.30247265	-1.0734112	0.35746288	0.8626955	0.72191024	0.3027898	0.8268256	-0.49837008	0.055509564	-0.2121261	0.014947794	-0.48397326	0.30540347	-0.34598094	0.9526402	-0.59392834	-0.88804805	-0.0142590385	0.085743695	-0.28737682
must	-0.5207436	-0.65794146	0.88549715	-0.99882114	0.9136853	-0.43940002	0.06459005	-0.9909338	0.50532115	1.0271232	0.031730823	0.4714278	0.81179804	0.52603877	1.3763232	0.93792963	-0.65460205	0.7941339	-0.95669305	-0.91858983	0.24254131	-0.00087386	-0.7712235	0.44019985	0.18868168	0.4337965	-1.2287171	-1.0204197	0.5232288	0.11544984	-0.442031	-0.61432004	0.03367144	0.923909	0.15552285	0.73436654	0.9418653	-0.15110885	-0.1417591	-0.25493237	-0.1276804	0.05671774	0.8517046	-1.0463325	-0.10350857	-1.0092516	-0.6229433	-0.5172271	0.16887797	-1.2941862
world	-0.6375825	-0.64307594	0.7131072	-1.2221016	0.44537395	-0.7096547	1.0914121	-0.54663956	0.69548607	0.9948178	0.34413594	0.2676189	1.1676409	0.94281673	0.75481176	0.8693713	-0.62059623	0.6953193	-0.561336	-1.172158	0.78800416	0.21944027	-0.91717327	0.88521385	-1.478599	-0.16075316	-0.65834355	-0.72421515	0.02411914	0.21184725	0.3215512	-0.65451264	0.33132526	0.46425322	-0.13069281	0.64921546	1.0976269	0.38598412	-0.62145907	-0.031887792	-0.13802046	-0.27472606	1.3501425	-1.4438334	-0.04596083	-0.08020416	-0.7426809	-0.7742019	0.03526488	-0.66027737
involv	-1.1017032	-0.6226709	0.078751676	-0.52135503	0.6373985	0.04447338	0.2942674	-1.2051046	0.5987948	0.95916605	0.78928375	0.34901553	0.4395029	0.5246178	0.7582067	0.7119442	-0.5871452	0.06328205	0.15066324	-1.7186381	-0.19218768	-0.06933834	0.13313001	-0.3114603	0.29182887	0.26532322	-1.1777769	-1.67101	0.21168736	-0.04467316	1.1692522	-0.22651282	0.30378008	0.4220538	-0.5492383	0.73063326	0.8420174	-0.06562889	-1.2239192	0.048179753	1.0854568	-0.49915943	0.74705106	-0.74527216	-0.92573714	-1.2388458	-1.1308558	-0.13177563	0.65489936	-0.78861296
