year,polarization,label,is_actual
2018.5777777777778,0.5228215514732866,Annapolis,actual value
2016.6305555555555,0.5216681815768849,Baton Rouge,actual value
2016.8138888888889,0.5467220765196931,Burlington,actual value
2015.6277777777777,0.5288412698020385,Chattanooga,actual value
2015.9916666666666,0.5318776593700015,Colorado Springs,actual value
2016.6027777777779,0.5234671443830201,Dallas,actual value
2017.3833333333334,0.5334999709300579,Fresno,actual value
2016.2222222222222,0.5173273082915495,Kalamazoo,actual value
2018.3944444444444,0.5220663061010129,Nashville,actual value
2016.5333333333333,0.5435083961312521,Orlando,actual value
2018.2055555555555,0.5316992787444648,Parkland,actual value
2018.9083333333333,0.5442076516262034,Pittsburgh,actual value
2015.8361111111112,0.5214235479716728,Roseburg,actual value
2016.0055555555555,0.5267210005032517,San Bernardino,actual value
2017.5388888888888,0.5264916172770852,San Francisco,actual value
2018.4666666666667,0.5220004940470466,Santa Fe,actual value
2017.9305555555557,0.5326340852473339,Sutherland Springs,actual value
2017.9194444444445,0.5321903460366333,Thornton,actual value
2018.9361111111111,0.5412895346943193,Thousand Oaks,actual value
2017.8361111111112,0.5345086941243271,Vegas,actual value
2018.5777777777778,0.5002851796954417,Annapolis,value resulting from random party assignment
2016.6305555555555,0.5001435857035723,Baton Rouge,value resulting from random party assignment
2016.8138888888889,0.4993768800369539,Burlington,value resulting from random party assignment
2015.6277777777777,0.5005473025713372,Chattanooga,value resulting from random party assignment
2015.9916666666666,0.5000833627958093,Colorado Springs,value resulting from random party assignment
2016.6027777777779,0.500111841416581,Dallas,value resulting from random party assignment
2017.3833333333334,0.4996085819999383,Fresno,value resulting from random party assignment
2016.2222222222222,0.5006157254047804,Kalamazoo,value resulting from random party assignment
2018.3944444444444,0.4999089257753098,Nashville,value resulting from random party assignment
2016.5333333333333,0.4999823226046315,Orlando,value resulting from random party assignment
2018.2055555555555,0.5000021963028495,Parkland,value resulting from random party assignment
2018.9083333333333,0.4999525013864966,Pittsburgh,value resulting from random party assignment
2015.8361111111112,0.5001834076392387,Roseburg,value resulting from random party assignment
2016.0055555555555,0.5000837868287026,San Bernardino,value resulting from random party assignment
2017.5388888888888,0.49950174519324686,San Francisco,value resulting from random party assignment
2018.4666666666667,0.5000320653977135,Santa Fe,value resulting from random party assignment
2017.9305555555557,0.5001297186532938,Sutherland Springs,value resulting from random party assignment
2017.9194444444445,0.49959941188970064,Thornton,value resulting from random party assignment
2018.9361111111111,0.5001510871269013,Thousand Oaks,value resulting from random party assignment
2017.8361111111112,0.5000552538878043,Vegas,value resulting from random party assignment
