year,polarization,label,kind,race
2018.5777777777778,0.5062757411774681,Annapolis,between-topic,white
2016.6305555555555,0.5051671959597724,Baton Rouge,between-topic,POC
2016.8138888888889,0.528476090803955,Burlington,between-topic,POC
2015.6277777777777,0.5027076775696184,Chattanooga,between-topic,POC
2015.9916666666666,0.5085340745125254,Colorado Springs,between-topic,white
2016.6027777777779,0.5052160828600692,Dallas,between-topic,POC
2017.3833333333334,0.5234929295273343,Fresno,between-topic,POC
2016.2222222222222,0.5077196060938863,Kalamazoo,between-topic,white
2018.3944444444444,0.5148321630196157,Nashville,between-topic,white
2016.5333333333333,0.5154768311736526,Orlando,between-topic,POC
2018.2055555555555,0.5045499549623069,Parkland,between-topic,white
2018.9083333333333,0.5022719235592922,Pittsburgh,between-topic,white
2015.8361111111112,0.5071010625193904,Roseburg,between-topic,POC
2016.0055555555555,0.5086704367122306,San Bernardino,between-topic,POC
2017.5388888888888,0.5120770163128845,San Francisco,between-topic,POC
2018.4666666666667,0.5031872006362422,Santa Fe,between-topic,white
2017.9305555555557,0.5056141236827915,Sutherland Springs,between-topic,white
2017.9194444444445,0.5315054223087107,Thornton,between-topic,white
2018.9361111111111,0.5063736713790166,Thousand Oaks,between-topic,white
2017.8361111111112,0.5044848528420023,Vegas,between-topic,white
2018.5777777777778,0.5211101164353548,Annapolis,within-topic,white
2016.6305555555555,0.5229378108086414,Baton Rouge,within-topic,POC
2016.8138888888889,0.5280140567974371,Burlington,within-topic,POC
2015.6277777777777,0.5322703500592786,Chattanooga,within-topic,POC
2015.9916666666666,0.5280698049022914,Colorado Springs,within-topic,white
2016.6027777777779,0.5243472624423974,Dallas,within-topic,POC
2017.3833333333334,0.5293151617277502,Fresno,within-topic,POC
2016.2222222222222,0.5149292406164757,Kalamazoo,within-topic,white
2018.3944444444444,0.5166407346807218,Nashville,within-topic,white
2016.5333333333333,0.5388292225265623,Orlando,within-topic,POC
2018.2055555555555,0.531976278930719,Parkland,within-topic,white
2018.9083333333333,0.5511960894259154,Pittsburgh,within-topic,white
2015.8361111111112,0.5212327111113493,Roseburg,within-topic,POC
2016.0055555555555,0.5245254415563502,San Bernardino,within-topic,POC
2017.5388888888888,0.5297906593180522,San Francisco,within-topic,POC
2018.4666666666667,0.5242698420748075,Santa Fe,within-topic,white
2017.9305555555557,0.5363127016613609,Sutherland Springs,within-topic,white
2017.9194444444445,0.51755986590792,Thornton,within-topic,white
2018.9361111111111,0.544815737816186,Thousand Oaks,within-topic,white
2017.8361111111112,0.5391327181080876,Vegas,within-topic,white
